306.935, 129.492, 5.073,  4.460 False
306.833, 129.492, 5.094,  4.480 False
306.731, 129.492, 5.116,  4.500 False
306.629, 129.492, 5.137,  4.520 False
306.526, 129.492, 5.159,  4.540 False
306.422, 129.492, 5.179,  4.560 False
306.318, 129.492, 5.201,  4.580 False
306.214, 129.492, 5.222,  4.600 False
306.109, 129.492, 5.244,  4.620 False
306.004, 129.492, 5.264,  4.640 False
305.898, 129.492, 5.286,  4.660 False
305.792, 129.492, 5.307,  4.680 False
305.686, 129.492, 5.328,  4.700 False
305.579, 129.493, 5.348,  4.720 False
305.472, 129.494, 5.369,  4.740 False
305.364, 129.495, 5.390,  4.760 False
305.256, 129.497, 5.412,  4.780 False
305.147, 129.498, 5.433,  4.800 False
305.038, 129.500, 5.455,  4.820 False
304.929, 129.502, 5.476,  4.840 False
304.819, 129.503, 5.497,  4.860 False
304.709, 129.506, 5.518,  4.880 False
304.598, 129.508, 5.540,  4.900 False
304.487, 129.510, 5.561,  4.920 False
304.375, 129.512, 5.582,  4.940 False
304.264, 129.514, 5.603,  4.960 False
304.151, 129.516, 5.624,  4.980 False
304.038, 129.517, 5.645,  5.000 False
303.925, 129.518, 5.666,  5.020 False
303.812, 129.519, 5.687,  5.040 False
303.697, 129.520, 5.708,  5.060 False
303.583, 129.522, 5.728,  5.080 False
303.468, 129.525, 5.749,  5.100 False
303.353, 129.528, 5.769,  5.120 False
303.237, 129.530, 5.791,  5.140 False
303.121, 129.533, 5.811,  5.160 False
303.005, 129.535, 5.833,  5.180 False
302.888, 129.538, 5.854,  5.200 False
302.770, 129.540, 5.875,  5.220 False
302.653, 129.543, 5.896,  5.240 False
302.534, 129.545, 5.917,  5.260 False
302.416, 129.548, 5.938,  5.280 False
302.297, 129.551, 5.959,  5.300 False
302.177, 129.553, 5.979,  5.320 False
302.057, 129.556, 6.001,  5.340 False
301.937, 129.559, 6.021,  5.360 False
301.816, 129.562, 6.042,  5.380 False
301.695, 129.565, 6.063,  5.400 False
301.574, 129.568, 6.084,  5.420 False
301.452, 129.571, 6.104,  5.440 False
301.329, 129.574, 6.125,  5.460 False
301.207, 129.577, 6.146,  5.480 False
301.083, 129.581, 6.166,  5.500 False
300.960, 129.585, 6.187,  5.520 False
300.836, 129.588, 6.208,  5.540 False
300.711, 129.592, 6.228,  5.560 False
300.587, 129.595, 6.249,  5.580 False
300.461, 129.599, 6.270,  5.600 False
300.336, 129.603, 6.291,  5.620 False
300.210, 129.607, 6.311,  5.640 False
300.083, 129.611, 6.332,  5.660 False
299.956, 129.615, 6.352,  5.680 False
299.829, 129.619, 6.373,  5.700 False
299.701, 129.624, 6.394,  5.720 False
299.573, 129.628, 6.415,  5.740 False
299.445, 129.632, 6.435,  5.760 False
299.316, 129.637, 6.456,  5.780 False
299.186, 129.642, 6.477,  5.800 False
299.057, 129.646, 6.498,  5.820 False
298.926, 129.651, 6.518,  5.840 False
298.796, 129.655, 6.540,  5.860 False
298.665, 129.660, 6.560,  5.880 False
298.533, 129.665, 6.581,  5.900 False
298.402, 129.670, 6.601,  5.920 False
298.269, 129.675, 6.622,  5.940 False
298.137, 129.680, 6.642,  5.960 False
298.004, 129.685, 6.663,  5.980 False
297.870, 129.690, 6.683,  6.000 False
297.736, 129.695, 6.704,  6.020 False
297.602, 129.701, 6.724,  6.040 False
297.467, 129.707, 6.745,  6.060 False
297.332, 129.713, 6.764,  6.080 False
297.197, 129.720, 6.784,  6.100 False
297.061, 129.727, 6.805,  6.120 False
296.925, 129.734, 6.825,  6.140 False
296.788, 129.741, 6.845,  6.160 False
296.651, 129.749, 6.867,  6.180 False
296.514, 129.756, 6.887,  6.200 False
296.376, 129.765, 6.907,  6.220 False
296.238, 129.773, 6.928,  6.240 False
296.099, 129.780, 6.949,  6.260 False
295.960, 129.788, 6.969,  6.280 False
295.821, 129.796, 6.990,  6.300 False
295.681, 129.804, 7.010,  6.320 False
295.540, 129.813, 7.030,  6.340 False
295.400, 129.822, 7.050,  6.360 False
295.259, 129.831, 7.070,  6.380 False
295.117, 129.841, 7.090,  6.400 False
294.976, 129.851, 7.111,  6.420 False
294.833, 129.861, 7.131,  6.440 False
294.691, 129.871, 7.151,  6.460 False
294.548, 129.882, 7.171,  6.480 False
294.405, 129.893, 7.192,  6.500 False
294.261, 129.904, 7.212,  6.520 False
294.117, 129.914, 7.233,  6.540 False
293.972, 129.926, 7.253,  6.560 False
293.827, 129.937, 7.274,  6.580 False
293.682, 129.948, 7.294,  6.600 False
